,id,ms_subclass,ms_zoning,lot_area,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_type_2,heating,central_air,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,saleprice,total_bldg_sqft,bldg_age,total_baths,total_porch
46,905,50,RL,10998.0,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,5,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,No,LwQ,BLQ,GasA,1,3,1,TA,6,Min2,0,Unf,2,660.0,TA,TA,Y,0.0,117000.0,2588.0,68,2,68.0
47,1532,70,RL,7200.0,Reg,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,7,6,Gable,CompShg,Stucco,Wd Shng,None,0.0,TA,Fa,BrkTil,TA,No,Unf,Unf,GasA,1,3,1,TA,6,Typ,1,RFn,1,270.0,TA,TA,P,0.0,149000.0,2278.0,77,1,112.0
48,132,20,RL,9920.0,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,HdBoard,HdBoard,Stone,110.0,TA,TA,CBlock,TA,No,Rec,LwQ,GasA,1,3,1,TA,6,Typ,0,RFn,1,280.0,TA,TA,Y,0.0,128000.0,2119.0,56,2,164.0
49,1078,160,RL,2448.0,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,2Story,7,5,Gable,CompShg,VinylSd,Wd Shng,Stone,106.0,Gd,TA,PConc,TA,No,Unf,Unf,GasA,1,2,1,Gd,6,Typ,0,RFn,2,474.0,TA,TA,Y,0.0,155000.0,2390.0,5,2,27.0
50,2511,160,FV,2998.0,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,6,5,Gable,CompShg,MetalSd,MetalSd,BrkFace,513.0,Gd,TA,PConc,TA,No,GLQ,Unf,GasA,1,2,1,Gd,4,Typ,0,Unf,2,440.0,TA,TA,Y,0.0,166000.0,2280.0,6,2,32.0
51,912,50,RL,7804.0,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,4,3,Gable,CompShg,WdShing,Plywood,None,0.0,TA,TA,BrkTil,TA,No,BLQ,Unf,GasA,1,4,1,Gd,7,Min2,2,Unf,2,576.0,TA,TA,Y,431.0,135000.0,3103.0,81,3,44.0
54,2586,20,RL,10170.0,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,522.0,TA,TA,CBlock,TA,No,Unf,Unf,GasA,1,2,1,Gd,5,Typ,1,Unf,2,400.0,TA,TA,Y,0.0,155000.0,1791.0,55,1,0.0
55,224,60,RL,9364.0,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Norm,Norm,1Fam,2Story,6,7,Gable,CompShg,HdBoard,HdBoard,Stone,143.0,TA,TA,CBlock,TA,No,ALQ,Unf,GasA,1,4,1,TA,7,Typ,0,Fin,1,299.0,TA,TA,Y,379.0,158000.0,2015.0,41,1,36.0
56,98,160,FV,2544.0,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,7,5,Gable,CompShg,MetalSd,MetalSd,None,0.0,Gd,TA,PConc,TA,No,GLQ,ALQ,GasA,1,2,1,Gd,4,Typ,0,RFn,2,480.0,TA,TA,Y,0.0,149500.0,1800.0,6,3,172.0
57,2565,20,RL,9888.0,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,No,BLQ,Unf,GasA,1,2,1,TA,5,Typ,0,Unf,1,240.0,TA,TA,Y,0.0,121000.0,1872.0,52,1,160.0
58,1934,20,RL,7942.0,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,No,Rec,ALQ,GasA,1,3,1,TA,6,Typ,0,Fin,1,293.0,TA,TA,Y,0.0,136000.0,2080.0,54,1,0.0
59,997,60,RL,15038.0,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,TA,No,Rec,Unf,GasA,1,3,1,TA,7,Typ,1,Fin,2,386.0,TA,TA,Y,168.0,173000.0,2552.0,12,2,84.0
60,64,60,RL,11764.0,IR1,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,7,Gable,CompShg,VinylSd,VinylSd,BrkFace,348.0,Gd,TA,PConc,TA,No,GLQ,Unf,GasA,1,4,1,Gd,9,Typ,1,Fin,3,671.0,TA,TA,Y,132.0,290000.0,3422.0,11,2,57.0
61,1799,60,FV,9000.0,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,TA,Av,GLQ,Unf,GasA,1,4,1,Ex,11,Typ,1,Fin,2,550.0,TA,TA,Y,208.0,303477.0,3794.0,0,2,364.0
62,230,20,RL,20062.0,IR1,Low,AllPub,Inside,Mod,ClearCr,Norm,Norm,1Fam,1Story,7,7,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,Gd,Gd,CBlock,TA,Gd,ALQ,Unf,GasA,1,1,1,TA,4,Typ,2,RFn,2,690.0,TA,TA,Y,496.0,270000.0,2903.0,33,2,0.0
63,1295,50,RM,7308.0,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,5,5,Gable,CompShg,WdShing,Wd Shng,None,0.0,Fa,Fa,BrkTil,TA,No,Rec,Unf,GasA,0,2,1,Ex,6,Typ,1,Unf,1,225.0,Fa,Fa,N,0.0,122250.0,2676.0,88,1,236.0
64,638,20,RL,8750.0,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,TA,CBlock,TA,No,Rec,LwQ,GasA,1,3,1,Gd,6,Typ,0,Unf,1,350.0,TA,TA,Y,280.0,153000.0,2764.0,54,1,0.0
66,2202,70,RL,4000.0,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,8,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,No,GLQ,Unf,GasA,1,2,1,TA,5,Typ,1,Unf,1,216.0,TA,TA,Y,0.0,148500.0,1629.0,77,2,0.0
67,2833,160,RM,3363.0,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,Stone,117.0,Gd,TA,PConc,TA,No,Unf,Unf,GasA,1,3,1,Gd,7,Maj1,0,Unf,2,380.0,TA,TA,Y,0.0,130000.0,2684.0,2,2,40.0
69,2428,120,RL,3013.0,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,145.0,Gd,TA,PConc,TA,Gd,GLQ,Unf,GasA,1,2,1,Gd,6,Typ,1,Fin,2,440.0,TA,TA,Y,142.0,213490.0,2868.0,1,2,20.0
70,242,20,RL,17485.0,IR2,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,Stone,96.0,Gd,TA,PConc,TA,Gd,GLQ,Unf,GasA,1,1,1,Gd,5,Typ,2,RFn,2,572.0,TA,TA,Y,0.0,308030.0,3016.0,1,2,0.0
71,1564,20,RL,23730.0,IR2,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,MetalSd,MetalSd,BrkFace,668.0,Gd,TA,PConc,TA,Mn,GLQ,Unf,GasA,1,3,1,Gd,7,Typ,0,Fin,3,786.0,TA,TA,Y,0.0,300000.0,3872.0,12,4,238.0
72,2613,20,RL,8910.0,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,Hip,CompShg,BrkFace,BrkFace,None,0.0,TA,TA,CBlock,TA,Mn,ALQ,Unf,GasA,1,3,1,TA,6,Typ,1,Fin,2,539.0,TA,TA,Y,0.0,159500.0,1849.0,47,1,192.0
73,2832,160,RM,2522.0,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Twnhs,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,Stone,50.0,Gd,TA,PConc,TA,No,Unf,Unf,GasA,1,3,1,Gd,7,Maj1,0,Unf,2,380.0,TA,TA,Y,0.0,137500.0,2679.0,2,2,40.0
74,2459,20,RL,8688.0,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,228.0,Gd,TA,PConc,TA,Av,Unf,Unf,GasA,1,3,1,Gd,7,Typ,0,RFn,3,834.0,TA,TA,Y,208.0,232000.0,3232.0,1,2,59.0
75,1360,30,RM,6291.0,IR1,Lvl,AllPub,Inside,Gtl,IDOTRR,RRNe,Norm,1Fam,1Story,6,6,Gable,CompShg,Stucco,Wd Shng,None,0.0,Gd,Gd,BrkTil,TA,No,Unf,Unf,GasA,1,1,1,TA,4,Typ,0,Unf,2,440.0,TA,TA,N,0.0,93850.0,1536.0,78,1,84.0
76,2723,30,RL,17529.0,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,BrkFace,Wd Sdng,Stone,65.0,TA,TA,BrkTil,TA,No,Unf,Unf,GasA,0,2,1,Fa,5,Mod,1,Unf,1,322.0,Fa,Fa,N,0.0,105000.0,1744.0,82,1,116.0
77,1350,30,RM,6324.0,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,No,Unf,Unf,GasA,0,1,1,Fa,4,Typ,0,Unf,1,240.0,Fa,TA,Y,49.0,68500.0,1040.0,81,1,87.0
78,136,90,RL,11600.0,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Feedr,Norm,Duplex,2Story,5,5,Gable,CompShg,MetalSd,MetalSd,BrkFace,361.0,TA,TA,CBlock,TA,No,Rec,Unf,GasA,1,5,2,TA,12,Typ,0,Unf,2,480.0,TA,TA,Y,0.0,154300.0,3379.0,50,2,0.0
80,1993,70,RM,4571.0,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,7,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,No,BLQ,Unf,GasA,1,3,1,TA,6,Typ,0,Unf,2,480.0,Fa,Fa,Y,280.0,114000.0,1848.0,97,1,143.0
82,1309,50,RM,12665.0,IR1,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,5,8,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,Mn,Unf,Unf,GasA,1,4,1,TA,7,Typ,1,Unf,3,720.0,TA,TA,Y,418.0,153900.0,2292.0,93,1,194.0
83,402,20,RL,9000.0,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,7,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,No,ALQ,Unf,GasA,1,3,1,TA,5,Typ,0,Unf,2,576.0,TA,TA,Y,200.0,130000.0,1728.0,38,1,0.0
